"fdd_ingredient","orig_food_common_name","score","method","food_id","food_public_id","food_name","orig_food_id","food_V2_ID"
"Carrots, dehydrated","carrot dehydrated",1,"tfidf",245,"FOOD00245","Carrot","11683",722
"Juice, sweet potato","sweet potato",0.845080947535877,"tfidf",92,"FOOD00092","Sweet potato","501",64
"Peaches, dried","peach dried",1,"tfidf",149,"FOOD00149","Peach","0051",1254
"Wasabi powder","wasabi",0.868761108699141,"tfidf",509,"FOOD00498","Wasabi","",9423
"Juice, tangerine/clementine/mandarin orange","mandarin orange clementine tangerine",0.959601386469071,"tfidf",56,"FOOD00056","Mandarin orange (Clementine, Tangerine)","",9499
"Pork, variety meat, liver, cooked","pork fresh variety meats by products liver cooked braised",0.72664633615212,"tfidf",549,"FOOD00536","Domestic pig","10111",4187
"Artichokes, (globe or french), canned","artichokes globe french raw",0.932192872224722,"tfidf",71,"FOOD00071","Globe artichoke","11007",706
"Corn hominy, canned","hominy canned white",0.787052985560161,"tfidf",205,"FOOD00205","Corn","20030",1643
"Seeds, flax, roasted","flax",0.808413517899532,"tfidf",101,"FOOD00101","Flaxseed","561",72
"Milk, 2% fat, evaporated","evaporated milk",0.951942223897147,"tfidf",824,"FOOD00798","Evaporated milk","",9853
"Pumpkin, cooked","pumpkin",0.917217721559645,"tfidf",284,"FOOD00283","Winter squash","326",144
"Mulberries, raw","mulberries raw",1,"tfidf",117,"FOOD00117","Black mulberry","09190",927
"Spices, sage","spices sage ground",0.865319007987815,"tfidf",165,"FOOD00165","Common sage","02038",1341
"Nuts, coconut cream","nuts coconut cream canned sweetened",0.793196563819088,"tfidf",341,"FOOD00336","Coconut","12116",2502
"Cheese, parmesan","cheese parmesan hard",0.803571380883921,"tfidf",631,"FOOD00617","Cheese","01033",4763
"Beans, green/snap, dehydrated","beans snap green raw",0.773772668921042,"tfidf",134,"FOOD00134","Common bean","11052",1044
"Peas, green, mature (split), raw (consumed cooked/heat-treated)","peas green split mature seeds raw",0.703758509119155,"tfidf",141,"FOOD00141","Common pea","",8758
"Carrots, raw/canned/cooked","carrot canned",0.87310141462606,"tfidf",245,"FOOD00245","Carrot","0684",713
"Oranges, canned/cooked/frozen (oranges only)","orange",0.878962725169501,"tfidf",57,"FOOD00057","Sweet orange","282",40
"Fish, haddock, cooked","fish haddock raw",0.909845046916258,"tfidf",379,"FOOD00374","Haddock","15033",2606
"Broccoli raab, cooked","broccoli raab cooked",1,"tfidf",314,"FOOD00311","Rapini","11097",2432
"Cheese, provolone, reduced fat","cheese provolone reduced fat",1,"tfidf",631,"FOOD00617","Cheese","01208",4787
"Carrots, canned","carrot canned",1,"tfidf",245,"FOOD00245","Carrot","0684",713
"Okra, raw","okra raw",1,"tfidf",427,"FOOD00420","Okra","0678",2725
"Beef, lean and fat, dried","beef cured dried",0.594700469094395,"tfidf",506,"FOOD00495","Cattle (Beef, Veal)","13350",3041
"Juice, apple","babyfood juice apple",0.824196102691257,"tfidf",690,"FOOD00668","Baby food","03166",5906
"Onions, canned","onion",0.838513415710618,"tfidf",226,"FOOD00226","Garden onion (var.)","53",2
"Spices, chili powder","spices chili powder",1,"tfidf",40,"FOOD00040","Pepper","02009",495
"Oranges, raw","orange raw",1,"tfidf",57,"FOOD00057","Sweet orange","0005",593
"Spices, nutmeg","spices nutmeg ground",0.870109743901372,"tfidf",118,"FOOD00118","Nutmeg","02025",930
"Grapes, raw/frozen/canned (grapes only)","grape raw",0.888630884643869,"tfidf",374,"FOOD00369","Grape","0329",2581
