"klass","subklass","compound_public_id","compound_name","directparent","component"
"Flavonoids","Isoflavonoids","FDB002608","Daidzein",NA,"Isoflavones"
"Flavonoids","Isoflavonoids","FDB012219","Formononetin",NA,"Isoflavones"
"Flavonoids","Isoflavonoids","FDB011828","Genistein",NA,"Isoflavones"
"Flavonoids","Isoflavonoids","FDB012223","Biochanin A",NA,"Isoflavones"
"Flavonoids","Isoflavonoids","FDB000698","Glycitein",NA,"Isoflavones"
"Flavonoids","Isoflavonoids","FDB017323","Glycitin",NA,"Isoflavones"
"Flavonoids","Isoflavonoids","FDB002609","6''-Acetyldaidzin",NA,"Isoflavones"
"Flavonoids","Isoflavonoids","FDB000670","6''-Malonylgenistin",NA,"Isoflavones"
"Flavonoids","Isoflavonoids","FDB012225","Daidzin",NA,"Isoflavones"
"Flavonoids","Isoflavonoids","FDB012221","Genistin",NA,"Isoflavones"
"Flavonoids","Isoflavonoids","FDB000669","6''-O-Acetylgenistin",NA,"Isoflavones"
"Flavonoids","Isoflavonoids","FDB019095","6''-Acetylglycitin",NA,"Isoflavones"
"Flavonoids","Isoflavonoids","FDB021174","6''-Malonyldaidzin",NA,"Isoflavones"
"Flavonoids","Isoflavonoids","FDB018876","6''-Malonylglycitin",NA,"Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB001445","2-Hydroxypseudobaptigenin","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB001650","5-O-Methylgenistein","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB001652","7,8,2',4'-Tetrahydroxyisoflavone","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB002620","5,7-Dihydroxyisoflavone","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB003851","Dillanol","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB010652","Barpisoflavone A","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB011342","Irisone B","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB012043","Glyzaglabrin","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB012251","2'-Hydroxygenistein","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB012252","8-Hydroxygenistein","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB013105","Shoyuflavone B","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB013106","Shoyuflavone C","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB015195","Glicoricone","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB017746","Gancaonin C","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB018364","2,3-Dehydrokievitol","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB018365","Gancaonin L","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB018368","3-(2,4-Dihydroxyphenyl)-8,9-dihydro-5-hydroxy-8-(1-methylethenyl)-4H-furo[2,3-h]-1-benzopyran-5-one","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB029845","4'-Methyldelphinidin 3-glucoside","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB029848","5,6,7,3',4'-Pentahydroxyisoflavone","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB029849","5,6,7,4'-Tetrahydroxyisoflavone","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB029850","5,7,8,3',4'-Pentahydroxyisoflavone","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB029867","7,8,3',4'-Tetrahydroxyisoflavone","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB029978","Tectorigenin","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB029980","Isotectorigenin","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB030294","2'-hydroxypseudobaptigenin","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB093497","formononetin methylated ","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB093576","Isolupalbigenin","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB093714","Genistein 7-sulfate","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB000442","2'-Hydroxydaidzein","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB008378","6-Hydroxydaidzein","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB011287","2',4',5,7,8-Pentahydroxyisoflavone","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB011985","Irilone","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB012044","8-Hydroxydaidzein","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB012398","Licoisoflavone A","Isoflavones","Isoflavones"
"Isoflavonoids","Isoflav-2-enes","FDB017077","3'-(gamma,gamma-Dimethylallyl)genistein","Isoflavones","Isoflavones"
