"id","compound_public_id","source_type","food_id","food_name","orig_food_common_name","orig_food_scientific_name","orig_source_id","orig_source_name","orig_content_avg","orig_unit","citation","preparation_type"
1179660,12174,"Compound",1,"Angelica","","","","",NA,"","MANUAL",""
1179661,12174,"Compound",2,"Savoy cabbage","","","","",NA,"","MANUAL",""
1179662,12174,"Compound",3,"Silver linden","","","","",NA,"","MANUAL",""
1179663,12174,"Compound",4,"Kiwi","","","","",NA,"","MANUAL",""
1179664,12174,"Compound",5,"Allium","","","","",NA,"","MANUAL",""
1179665,12174,"Compound",6,"Garden onion","","","","",NA,"","MANUAL",""
1179666,12174,"Compound",7,"Leek","","","","",NA,"","MANUAL",""
1179667,12174,"Compound",8,"Garlic","","","","",NA,"","MANUAL",""
1179668,12174,"Compound",9,"Chives","","","","",NA,"","MANUAL",""
1179669,12174,"Compound",10,"Lemon verbena","","","","",NA,"","MANUAL",""
1179670,12174,"Compound",11,"Cashew nut","","","","",NA,"","MANUAL",""
1179671,12174,"Compound",12,"Pineapple","","","","",NA,"","MANUAL",""
688908,12174,"Compound",13,"Dill","Dill","Anethum graveolens L. [Apiaceae]","EUGENOL","EUGENOL",NA,"","DUKE","raw"
1179672,12174,"Compound",14,"Custard apple","","","","",NA,"","MANUAL",""
689521,12174,"Compound",15,"Wild celery","Celery","Apium graveolens L. [Apiaceae]","EUGENOL","EUGENOL",NA,"","DUKE","raw"
1179673,12174,"Compound",16,"Peanut","","","","",NA,"","MANUAL",""
1179674,12174,"Compound",17,"Burdock","","","","",NA,"","MANUAL",""
1179675,12174,"Compound",18,"Horseradish","","","","",NA,"","MANUAL",""
1179676,12174,"Compound",20,"Mugwort","","","","",NA,"","MANUAL",""
1179677,12174,"Compound",21,"Asparagus","","","","",NA,"","MANUAL",""
1179678,12174,"Compound",22,"Oat","","","","",NA,"","MANUAL",""
1179679,12174,"Compound",23,"Star fruit","","","","",NA,"","MANUAL",""
1179680,12174,"Compound",24,"Brazil nut","","","","",NA,"","MANUAL",""
1179681,12174,"Compound",25,"Common beet","","","","",NA,"","MANUAL",""
1179682,12174,"Compound",26,"Borage","","","","",NA,"","MANUAL",""
1179683,12174,"Compound",27,"Chinese mustard","","","","",NA,"","MANUAL",""
1179684,12174,"Compound",28,"Swede","","","","",NA,"","MANUAL",""
1179685,12174,"Compound",29,"Rape","","","","",NA,"","MANUAL",""
1179686,12174,"Compound",30,"Common cabbage","","","","",NA,"","MANUAL",""
1179687,12174,"Compound",31,"Cauliflower","","","","",NA,"","MANUAL",""
1179688,12174,"Compound",32,"Brussel sprouts","","","","",NA,"","MANUAL",""
1179689,12174,"Compound",33,"Kohlrabi","","","","",NA,"","MANUAL",""
1179690,12174,"Compound",34,"Broccoli","","","","",NA,"","MANUAL",""
1179691,12174,"Compound",35,"Chinese cabbage","","","","",NA,"","MANUAL",""
1179692,12174,"Compound",36,"Turnip","","","","",NA,"","MANUAL",""
1179693,12174,"Compound",37,"Pigeon pea","","","","",NA,"","MANUAL",""
