"compound_public_id","compound_name","class","smiles","inchi_key"
"FDB000004","Cyanidin 3-(6''-acetyl-galactoside)","Flavonoids","[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O","HBXXDBKJLPLXPR-DLBZZEGUSA-O"
"FDB000013","Cyanidin 3-(6''-succinyl-glucoside)","Flavonoids","[H][C@]1(COC(=O)CCC(O)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","MIYGQTFETYBMKF-WVXUANQFSA-O"
"FDB000014","Pelargonidin 3-(6''-succinyl-glucoside)","Flavonoids","[H][C@]1(COC(=O)CCC(O)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","UBUSYXLSGMWUJJ-WVXUANQFSA-O"
"FDB000024","Petunidin 3-O-(6''-acetyl-galactoside)","Flavonoids","[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O","GPUBWXUQPURXOQ-SKKXNPCDSA-O"
"FDB000025","Peonidin 3-(6''-acetyl-galactoside)","Flavonoids","[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O","MBSKDCPWFSMEFD-ZKVZURMCSA-O"
"FDB000027","Malvidin 3-(6''-acetyl-galactoside)","Flavonoids","[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O","WGYWEDJQQFKGID-ZTKYFMRJSA-O"
"FDB000031","Pelargonidin 3-arabinoside","Flavonoids","[H][C@]1(CO)O[C@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@@]([H])(O)[C@]1([H])O","BGOQMKHOLJPANL-XSYGEPLQSA-O"
"FDB000035","Peonidin 3-(6''-p-coumaroyl-glucoside)","Flavonoids","[H][C@]1(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","MFHMTMFSFNMTFQ-RJBRRTDCSA-O"
"FDB000040","Delphinidin 3-xyloside","Flavonoids","[H][C@]1(CO)O[C@@]([H])(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@]([H])(O)[C@@]1([H])O","WIEYMFHXYNRELM-MJKGWSOKSA-O"
"FDB000041","Petunidin 3-(6''-p-coumaroyl-glucoside)","Flavonoids","[H][C@]1(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","KTFQEFWNLAUGAX-YQUABMASSA-O"
"FDB000048","p-Coumaroyl vitisin A","Cinnamic acids and derivatives","COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C3C(OC(=CC3=C1OC1O[C@H](COC(=O)\C=C\C3=CC=C(O)C=C3)[C@@H](O)[C@H](O)[C@H]1O)C(O)=O)=CC(O)=C2","GOINLVYYMYVHAQ-CJKUAQFFSA-O"
"FDB000052","Pinotin A","Flavonoids","[H][C@]1(CO)O[C@@]([H])(OC2=C3C=C(OC4=CC(O)=CC([O+]=C2C2=CC(OC)=C(O)C(OC)=C2)=C34)C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","RFTHDRVOYDHSOC-BGXVWEPQSA-O"
"FDB000055","Malvidin 3-(6''-caffeoyl-glucoside)","Flavonoids","[H][C@]1(COC(=O)\C=C\C2=CC(O)=C(O)C=C2)OC(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(OC)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","LIEHUFTYLLDHTI-FCOFYTSKSA-O"
"FDB000064","Cyanidin 3-O-(6''-malonyl-3''-glucosyl-glucoside)","Flavonoids","[H][C@]1(CO)O[C@@]([H])(O[C@@]2([H])[C@]([H])(O)[C@@]([H])(COC(=O)CC(O)=O)O[C@@]([H])(OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C(O)=C3)[C@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","RLENKWQMUNAYFI-OMGJKZNISA-O"
"FDB000075","Delphinidin 3-feruloylglucoside","Flavonoids","[H][C@]1(COC(=O)\C=C\C2=CC(OC)=C(O)C=C2)O[C@@]([H])(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","RHRFAOKZIDUVQO-VEZAKBLNSA-O"
"FDB000078","Luteolinidin","Flavonoids","OC1=CC2=[O+]C(=CC=C2C(O)=C1)C1=CC=C(O)C(O)=C1","GDNIGMNXEKGFIP-UHFFFAOYSA-O"
"FDB000082","Butein","Linear 1,3-diarylpropanoids","[H]\C(=C(\[H])C1=CC(O)=C(O)C=C1)C(=O)C1=C(O)C=C(O)C=C1","AYMYWHCQALZEGT-ORCRQEGFSA-N"
"FDB000084","Phloretin-2'-O-(2''-O-xylosylglucoside)","Flavonoids","OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=C(C(=O)CCC3=CC=C(O)C=C3)C(O)=CC(O)=C2)[C@H](O)[C@H]1O","ZPVXZDCYCDBKAJ-NCMRLHFPSA-N"
"FDB000085","3-Hydroxyphloretin 2'-O-xylosyl-glucoside","Flavonoids","[H][C@@]1(O)CO[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC(O)=CC(O)=C3C(=O)CCC3=CC(O)=C(O)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@@]1([H])O","ILXISCCVBSLKSX-SUFHHTCNSA-N"
"FDB000086","3-Hydroxyphloretin 2'-O-glucoside","Flavonoids","[H][C@]1(CO)O[C@@]([H])(OC2=CC(O)=CC(O)=C2C(=O)CCC2=CC(O)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","AONTYURQWYQJNQ-QNDFHXLGSA-N"
"FDB000095","ent-Gallocatechin 3-gallate","Flavonoids","OC1=CC2=C(C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](O2)C2=CC(O)=C(O)C(O)=C2)C(O)=C1","WMBWREPUVVBILR-NQIIRXRSSA-N"
"FDB000108","Procyanidin trimer EEC","Flavonoids","O[C@H]1CC2=C(O[C@@H]1C1=CC=C(O)C(O)=C1)C(C1[C@@H](O)[C@H](OC3=C1C(O)=CC(O)=C3C1[C@@H](O)[C@H](OC3=C1C(O)=CC(O)=C3)C1=CC=C(O)C(O)=C1)C1=CC=C(O)C(O)=C1)=C(O)C=C2O","MOJZMWJRUKIQGL-GUZXBWELSA-N"
"FDB000122","Prodelphinidin trimer GC-C-C","Flavonoids","[H][C@]1(O)CC2=C(O[C@]1([H])C1=CC(O)=C(O)C=C1)C(=C(O)C=C2O)[C@]1([H])C2=C(O)C=C(O)C(=C2O[C@]([H])(C2=CC(O)=C(O)C(O)=C2)[C@@]1([H])O)[C@]1([H])C2=C(O)C=C(O)C=C2O[C@]([H])(C2=CC(O)=C(O)C(O)=C2)[C@@]1([H])O","RJFFPCHJOFXZQD-YTSXHMEESA-N"
"FDB000126","Epicatechin-(2alpha->7,4alpha->8)-epicatechin 3-galactoside","Flavonoids","OC[C@H]1O[C@H](O[C@@H]2[C@@H]3C4=C(O[C@]2(OC2=C3C3=C(CC[C@H](O3)C3=CC(O)=C(O)C=C3)C=C2)C2=CC(O)=C(O)C=C2)C=C(O)C=C4O)[C@H](O)[C@@H](O)[C@H]1O","MVLCXMXCRQYNIC-TWULTLMFSA-N"
"FDB000133","6-Geranylnaringenin","Flavonoids","CC(C)=CCC\C(C)=C\CC1=C(O)C=C2O[C@@H](CC(=O)C2=C1O)C1=CC=C(O)C=C1","XYIQIBWIEGCVQY-RWHUQTJRSA-N"
"FDB000135","Luteolin 7-O-diglucuronide","Flavonoids","O[C@@H]1[C@@H](O)[C@H](OC(=O)[C@H]2O[C@@H](OC3=CC(O)=C4C(=O)C=C(OC4=C3)C3=CC=C(O)C(O)=C3)[C@H](O)[C@@H](O)[C@@H]2O)O[C@@H]([C@H]1O)C(O)=O","SPWLSDULYCMRFB-VMEISIRMSA-N"
"FDB000136","Apigenin 6-C-arabinoside 8-C-glucoside","Flavonoids","OC[C@@H]1OC([C@H](O)[C@H]1O)C1=C(O)C(C2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C2OC(=CC(=O)C2=C1O)C1=CC=C(O)C=C1","DRLZZQRQMWQRLZ-FBMRRHFKSA-N"
"FDB000137","Apigenin 6-C-galactoside 8-C-arabinoside","Flavonoids","OC[C@H]1OC([C@@H](O)[C@@H]1O)C1=C2OC(=CC(=O)C2=C(O)C(C2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)=C1O)C1=CC=C(O)C=C1","TUIJPUWSXVFWSH-RLRXGGGNSA-N"
"FDB000138","Apigenin 7-O-glucuronide","Flavonoids","O[C@@H]1[C@@H](O)[C@H](OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)O[C@@H]([C@H]1O)C(O)=O","JBFOLLJCGUCDQP-ZFORQUDYSA-N"
"FDB000139","Luteolin 7-malonylglucoside","Flavonoids","O[C@H]1[C@H](O)[C@@H](COC(=O)CC(O)=O)O[C@@H](OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C(O)=C2)[C@@H]1O","RNDGJCZQVKFBPI-ASDZUOGYSA-N"
"FDB000144","Luteolin 7-O-(2-apiosyl-6-malonyl)-glucoside","Flavonoids","OC[C@@]1(O)CO[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](COC(=O)CC(O)=O)O[C@H]2OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C(O)=C2)[C@@H]1O","LPOQROCPKZWCGK-CQRLEKJLSA-N"
"FDB000146","Jaceosidin","Flavonoids","COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O1)C=C(O)C(OC)=C2O","GLAAQZFBFGEBPS-UHFFFAOYSA-N"
"FDB000148","Apigenin 7-O-(6''-malonyl-apiosyl-glucoside)","Flavonoids","O[C@@H]1[C@@H](COC(=O)CC(O)=O)O[C@@H](OC[C@H]2O[C@@H](OC3=CC(O)=C4C(=O)C=C(OC4=C3)C3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H]1O","CWXBFJLEJGCTRB-PMUUMJNOSA-N"
"FDB000150","Chrysoeriol 7-O-(6''-malonyl-apiosyl-glucoside)","Flavonoids","COC1=CC(=CC=C1O)C1=CC(=O)C2=C(O1)C=C(O[C@@H]1O[C@H](COC(=O)CC(O)=O)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1OC[C@](O)(CO)[C@H]1O)C=C2O","IGMXPYZQDLGVQE-NJCUNIDNSA-N"
"FDB000152","Apigenin 7-O-diglucuronide","Flavonoids","O[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@H](O[C@H]2OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)C(O)=O)O[C@@H]([C@H]1O)C(O)=O","SJFTVAAHLRFBST-DBFWEQBMSA-N"
"FDB000154","Quercetin 3-O-xylosyl-glucuronide","Flavonoids","OC[C@H]1O[C@@H](OC(=O)[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O","DKHSNOLJPXJJMD-GQDNDFQBSA-N"
"FDB000162","Quercetin 3-O-glucosyl-xyloside","Flavonoids","OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O","ZFGBNYDDAJMWAZ-DGBSRBSYSA-N"
"FDB000163","Quercetin 3-O-acetyl-rhamnoside","Flavonoids","C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)[C@H](OC(C)=O)[C@H](O)[C@H]1O","QYSPPPJDISHVRH-ZKLNTULWSA-N"
"FDB000164","Kaempferol 3-O-glucosyl-rhamnosyl-galactoside","Flavonoids","C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O","MFIXKYXSBNIMPX-CHLFRWFTSA-N"
"FDB000165","Kaempferol 3-O-glucosyl-rhamnosyl-glucoside","Flavonoids","C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O","MFIXKYXSBNIMPX-PBVGSPQASA-N"
"FDB000166","Quercetin 3-O-glucosyl-rhamnosyl-galactoside","Flavonoids","C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O","XEFNBVWDOQCMSG-GJHFDJSNSA-N"
"FDB000167","Quercetin 3-O-glucosyl-rhamnosyl-glucoside","Flavonoids","C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O","XEFNBVWDOQCMSG-DWTJFVCYSA-N"
